Country,CountryCode,Year,IndicatorCode,IndicatorClass,IndicatorLabel,Value
Thailand,THA,2008,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.476321
"Taiwan, China",TWN,2008,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.53645
Brazil,BRA,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.890975
China,CHN,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.730255
"Hong Kong SAR, China",HKG,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.579307
Mexico,MEX,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.295734
Philippines,PHL,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.239515
Poland,POL,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.820561
Thailand,THA,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.863596
"Taiwan, China",TWN,2009,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.86342
Brazil,BRA,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.039365
China,CHN,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.179627
"Hong Kong SAR, China",HKG,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.292363
Mexico,MEX,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.154822
Philippines,PHL,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.738215
Poland,POL,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.699681
Thailand,THA,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.29638
"Taiwan, China",TWN,2010,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.96636
Brazil,BRA,2011,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",6.63517
China,CHN,2011,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.534771
"Hong Kong SAR, China",HKG,2011,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.292793
Mexico,MEX,2011,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.404098
Philippines,PHL,2011,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.76593
Poland,POL,2011,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.213246
Thailand,THA,2011,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.802568
"Taiwan, China",TWN,2011,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.419452
Brazil,BRA,2012,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.403105
China,CHN,2012,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.607057
"Hong Kong SAR, China",HKG,2012,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.042781
Mexico,MEX,2012,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.111582
Philippines,PHL,2012,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.136978
Poland,POL,2012,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.736249
Thailand,THA,2012,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.007644
"Taiwan, China",TWN,2012,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.928541
Brazil,BRA,2013,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",6.201476
